#userId,itemId
1,47
1,1
1,25
1,8
1,13
1,15
1,5
2,9
2,20
2,34
2,16
3,8
3,42
3,32
3,35
4,41
4,49
4,22
4,33
4,45
4,38
4,25
4,16
4,7
5,10
5,35
5,37
5,12
6,3
6,27
6,34
6,20
6,4
7,18
7,32
7,46
7,16
7,49
7,46
7,42
7,41
8,23
8,9
8,38
8,9
8,22
8,6
8,23
9,21
10,49
10,49
10,17
10,48
10,35
11,25
11,17
11,22
11,27
12,4
12,43
12,40
12,32
13,3
13,42
13,37
13,44
14,9
14,21
14,32
14,44
15,4
15,17
15,7
15,43
15,39
16,1
16,5
16,45
16,33
16,14
16,2
17,24
17,21
17,17
17,30
17,32
17,46
18,47
18,31
18,9
18,28
18,28
18,22
18,24
18,3
19,40
19,39
19,17
19,28
19,26
19,34
19,46
20,46
20,9
20,20
21,28
21,48
21,9
21,46
21,10
22,5
22,34
23,27
23,3
23,48
23,23
23,41
23,21
24,7
24,2
24,21
24,35
24,36
24,36
25,2
25,31
25,46
25,39
25,38
26,48
26,36
26,39
27,35
27,24
27,43
28,34
28,32
28,33
28,39
28,35
28,5
28,16
29,33
29,26
29,16
30,32
30,37
30,13
30,5
30,42
31,22
31,10
31,35
31,32
31,49
32,34
32,7
32,6
33,28
33,45
33,18
33,29
33,3
33,48
33,33
34,13
34,19
34,22
34,44
34,38
34,25
34,14
34,44
35,42
35,27
35,15
36,19
36,22
36,16
36,29
36,40
36,38
36,48
37,34
37,36
37,22
37,36
37,30
37,15
37,30
37,3
37,9
38,18
38,8
38,29
38,45
38,19
38,42
38,42
39,17
39,21
39,12
39,39
39,18
39,46
40,19
40,4
40,6
41,46
41,15
41,5
41,24
41,40
41,37
41,35
42,44
42,18
42,2
43,45
43,5
43,31
44,10
44,46
45,45
45,32
46,5
46,35
46,36
46,6
46,40
46,49
46,47
46,30
46,8
47,43
47,32
47,5
47,8
47,35
47,43
47,38
47,6
48,14
49,32
49,49
49,38
50,22
50,20
51,41
51,38
51,13
51,42
51,40
51,21
52,23
52,34
52,42
52,23
52,7
53,44
53,35
54,34
54,36
54,19
55,28
55,2
55,48
55,37
55,33
55,16
55,1
55,40
56,27
56,9
56,14
56,39
56,30
56,14
56,5
57,18
57,23
57,22
57,44
57,2
57,27
57,33
57,32
57,41
58,32
58,3
58,44
58,46
59,27
59,7
59,44
59,21
60,48
60,28
60,9
60,2
60,15
61,20
61,44
61,2
61,15
62,40
62,32
63,16
63,42
63,38
63,36
63,10
64,24
64,2
65,8
65,12
65,6
65,17
65,43
65,35
65,44
65,45
66,34
67,45
67,41
67,44
67,17
67,21
67,3
67,38
67,35
68,5
68,29
68,33
68,45
68,24
68,31
69,25
69,30
69,12
69,6
69,42
69,8
69,42
69,38
70,16
70,36
70,44
70,29
70,9
70,35
71,37
71,21
71,36
71,3
71,34
71,44
71,43
72,35
72,38
72,24
72,19
72,1
72,45
72,23
73,28
73,43
73,21
74,34
74,44
75,5
76,36
76,26
76,2
76,19
76,1
76,44
76,15
76,14
77,46
77,28
78,32
78,45
78,22
78,28
78,18
78,39
78,32
78,17
78,20
79,19
79,5
80,24
80,2
80,10
80,27
80,13
80,2
81,3
82,30
82,6
82,8
82,19
82,37
82,36
83,8
83,46
84,18
84,2
85,11
85,34
85,31
85,38
85,16
85,16
86,34
86,8
86,12
86,49
86,6
86,11
86,21
87,3
87,19
87,9
88,20
88,43
88,28
89,14
89,8
89,41
90,11
90,25
90,31
90,3
90,35
90,6
90,42
90,24
91,45
91,29
91,39
91,32
91,16
91,33
92,26
92,33
92,49
92,16
92,41
92,17
93,1
93,45
93,48
93,27
93,25
93,3
94,2
94,44
94,28
94,16
94,18
94,25
94,9
94,28
94,28
95,25
95,19
95,23
95,21
95,19
95,32
95,11
95,44
95,28
96,34
96,44
96,7
96,39
96,48
96,33
96,33
96,44
96,21
97,12
97,29
97,12
97,35
97,37
97,44
97,10
97,23
97,17
98,23
98,31
98,12
98,45
98,28
98,34
99,46
99,17
99,29
99,42
99,26
99,22
99,5
99,7
99,30
100,30
100,21
100,47
100,11

